TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2018-11-10 15:43:43.264,0.8329476610629695,0.8490835472213947,1.308153848271598,0.5381012332338848,0.5261968583733466,0.6582794735115232,0.7067206890535264,0.333089674679057,0.4019974957022913,0.5340166235976583,0.2185055136593745,0.2710614218452184,0.2183788361036051,-0.09318009533535684,-0.1309422302499018,0.3002947648726211,-0.1968612759770871,-0.4295969580062111,-0.6363267083758417,-0.1805986804418981,850.989010989011,843.7362637362637,853.0036630036631,844.5421245421246,841.3186813186813,0.026123,0.041626,0.995911,-0.814972,1.472931,2.639313,1,1,1,1,1,76.218750
2018-11-10 15:43:44.299,0.9899861272972095,0.6763245073740914,0.1048384972893066,0.3226060148418827,0.3393975670704478,0.5488723158024804,-0.00319964547658245,0.1969163513692915,0.4533808184517213,0.6028337462089259,-0.05314372847251696,0.3389610925529813,0.2546308285513342,0.07498095984922276,-0.1346887568809245,0.3485551266451737,-0.03707103076903683,-0.4231661252671862,-0.6815904181215539,-0.1381745545460627,850.989010989011,842.1245421245421,845.7509157509157,855.0183150183151,825.2014652014652,0.026855,0.040710,0.998108,-0.702820,2.243042,2.213135,1,1,1,1,1,76.218750
2018-11-10 15:43:44.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-11-10 15:43:45.276,1.264838432041744,1.188891826008562,0.2742798310715465,0.3205737351795965,0.5827588190097363,0.6582124208236184,0.04685817083844857,0.3596533842463371,0.3880946800841023,0.5641819697444637,0.009953000486900848,0.3228422654758416,0.2597956705512712,0.2062594335173975,-0.1870680131968816,0.309392297314441,0.01820105427789925,-0.2971889178375226,-0.4394303138819736,-0.06294188860182241,856.6300366300367,841.3186813186813,841.3186813186813,844.9450549450549,813.5164835164835,-0.196960,0.082275,0.968750,3.312225,25.294037,10.557251,1,1,1,1,1,76.218750
2018-11-10 15:43:46.291,0.4891396710820194,1.261556936676782,0.7806621075120883,0.4915602627276576,-0.03396279844813382,0.4403612222788246,0.329634997768297,-0.1324528675362612,0.5293126136873845,0.5828409456663834,0.4619882677456847,0.4883095417451161,0.7264814407333153,0.4351394258564081,0.2451623381006866,0.627114704441366,0.3478033708063969,0.2807520535527916,0.004494362381175179,0.6212445870401485,848.974358974359,824.3956043956044,842.9304029304029,834.8717948717949,835.6776556776557,-0.328918,0.114075,0.936218,-0.194397,4.560852,4.007568,1,1,1,1,1,76.203125
2018-11-10 15:43:47.267,0.6624912869374197,0.5863841963816805,0.6148473821952495,0.3575636236751644,0.1702169793175106,0.3592270544701874,0.05189772650877473,0.005199105354366497,0.6040562814678651,0.4433808531400121,0.4619882677456847,0.4639490485696715,0.6206229369930337,0.4179352309378126,0.302605960225368,0.5310345296957607,0.4571080842743913,0.2372342759272928,0.04893789065294327,0.510818915320268,870.3296703296703,843.3333333333334,844.1391941391942,826.007326007326,868.3150183150184,-0.372925,0.142151,0.912842,-0.553284,1.383209,3.386993,1,1,1,1,1,76.203125
2018-11-10 15:43:48.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2018-11-10 15:43:48.255,0.710060805266426,0.596851348638318,0.5174763634221311,0.8246438412797834,0.2782221698336991,0.3013184688632615,-0.4008001539033276,0.3945120143984905,0.5851896729747079,0.2809890609824194,0.2717725857331261,0.5129175240199174,0.6206985837830411,0.3444773437220849,0.6672950234520072,0.612585344098541,0.7780045524236164,0.115977768484071,0.3430349340150369,0.7184685984709234,786.1172161172161,805.0549450549451,844.5421245421246,649.5238095238095,862.2710622710623,-0.318237,0.090576,0.931152,-1.622467,-0.867310,2.796326,1,1,1,1,1,76.203125
2018-11-10 15:43:49.279,0.5459369598580109,0.5446326722534298,1.145815716405758,1.205994474044592,0.261115013992348,0.05935845945263279,0.422073073083512,0.6096920249026873,0.5567008143102882,0.1609223191579298,0.5706894789532746,0.4246632682240143,0.7064236035811221,0.2318862498513417,1.107936763832063,0.7177601416108041,0.9329922640227934,0.1928027257490226,1.080675884292667,0.853111582788461,733.7362637362637,717.6190476190476,738.1684981684982,701.5018315018315,885.6410256410256,-0.304565,0.070251,0.946289,-2.863617,0.927124,-1.472931,1,1,1,1,1,76.203125
2018-11-10 15:43:49.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
